question,previewContents
일본의 수험생을위한 특혜 예,"이번에학교에서 여러주제로하다가 한국의 수험생을위한 특혜와 일본의 수험생을위한 특혜를 비교하게되었는데요. 일본의 수험생을위한특혜가 뭐뭐가있나요? 찾아보자니 일본은 한국과 비슷한것같으면서도 다른것같더라고요 한국은 수험생을위한 음식점 및 비행기 옷 쇼핑등 여러가지곳에서 할인이되는데반면 일본은 ""일본식수능의비용""외에 대학에서도 본고사라는것을보기위해 돈을지불해야된다고하더라고요 그리고 대표적인 특혜로는 그 대학본고사비용의 절감정도밖에없는것 같아서요. 혹시 아시는분계시면 답부탁드립니다 ㅠㅠ 예를들..."
워커힐에서 구리공원 자전거도로,전에는 차도로 다녔는데 지금은 자전거 도로 만들었네요 언제 만들었죠
이 벌레 뭔가요 사진있습니다,강원도 인제인데 기어다니고 날라다니고 물기도 하네요 물었을때 가려운건없고 따끔합니다 음식냄새 맡고 엄청 몰려드는데 무슨벌레인가요?
어 + ㄱ in English,"Please explain the K-phrase 어이가 없다 and 개념이 없다 in terms of ""how they are used in writing"" and ""daily conversations"". Then let me know how Americans express the same situation in English. The translator doesn't hold water. 번역 아니고 answer를 주십시오. (US citizen 만) Thanks."
서울근교 야영장 알려주세요.,매년 함허동천 다녔는데요 조금 질려서.. 입장료있고 물놀이 취사 가능한 야영장 부탁드립니다. 경기 충청 강원까지 가능해요!
고1 여자 8명 정도 놀러 가기 좋은 곳 알려주세요!,안녕하세요 기말고사 끝나고 아니면 방학 때 놀려 합니다 여고생 8명이서 놀러 갈려 하는데 시국이 시국인지라 어디 막 돌아다니기에는 좀 그래서 하루나 이틀 정도 놀려고 합니다 돈은? (얼마나 드는지) 장소는?(자세히 부탁드려요) 놀거리는?(체험) 먹거리는?
순천 사랑 상품권,순천 사랑 상품권을 맘스터치 순천 왕지점에서 사용가능하나요?
일산에서 인천으로가는 교통수단,제가 친구랑같이 인천에 갈려고 하는데요 1.일산풍동에서 인천월미도까지 빨리가는 교통수단 2.인천송도에서 일산까지 빨리가는 교통수단 알려주시면 감사하겠습니다.
타이다이하는법좀자세히알려주세요,타이다이할려는데 준비물뭐있나욤..알려주세요..(둥근말투부탁해요)
호텔 취업 영어 관련 자격증,요즘도 호텔에서 토익 보나요? 토익보다는 회화 관련 자격증을 주로 본다고 들었는데 오픽과 토익스피킹 중에 어떤 걸 더 중점적으로 보나요? 예를 들어 신라호텔 같은 경우 토스 레벨7이상 으로 알고있습니다.
단기 계약직 실업급여,1년간 근무하다가 7월 10일에 퇴사하고 공장에서 8월 10일부터 9월 10일까지 1개월 단기계약으로 근무할 예정인데 계약만료 후 실업급여 받을 수 있을까요???
광주 다한증약처방받을수있는곳,전라도 광주에서 다한증약(글리코피롤레이트) 처방받을수 있는 곳 알려주세요.
여행과 관련된 도표,예를 들어 관광객들은 관광지보다 휴양지를 더 선호한다는 등 그러한 도표 자료 찾을 수있는 링크 알려주세요!
중국 반간첩법에 대해서요,중국 반간첩법에 대해 조금만 쉽게 설명해주실 수 있으신분 알려주세요 ㅠㅠ 이해가 잘 안돼서요
안녕하세요 휴가를 가려고 하는데 강원,안녕하세요 휴가를 가려고 하는데 강원도 인재군에 단독수영장이 있는 (펜션풀빌라리조트...다 괜차나여!) 곳 있을까요? 5인이 2박 4일로 머물거여서 최대한 저렴한 가격에 부탁드립니다.
토마토 점수 100점 열화 추천이요,토마토 점수 100점 열화 추천이요
교복 브랜드 추천해주세요!,7월에 왠 교복추천이냐구요..? 그게..중학교 1차 배정 조사서인가? 그게 나왔었어요.. (참고로 아시겠다시피 6학년입니다.) 1지망에 김해내동중학교 넣었는데요.. 이유는 교복이 그나마 예뻐서입니다.. 근데..보니깐 보통 아이비엘리트스마트가 좋다고하는데요 저는 핏이 예쁜걸 원합니다ㅎ 불편한거 상관없어요 아..또 제 키가 140 인데요 키가 작다느니 뭐라하지마시구 140신장인 제 사이즈도 교복에 있을지 알려주세요ㅠ ※반말금지 내공냠냠금지
펜션수영장 시공 비용,경주에 있는 펜션에 수영장 시공하려고 합니다 수영장 내부크기는 3×6.5미터 생각중인데 골조와 삽입식 수영장 중 어떤것이 더 좋을까요? 비용은 얼마쯤 들까요?? 많이 알려주세요~!!
주문진 여행코스,주문진항 중심으로 여행 코스 좀 추천해 주세여
당일치기 글램핑장,안녕하세요! 중3 4명이서 당일치기로 캠핑장 같은 곳에서 바베큐하고 놀고오고싶은데 강동 송파 주변에 괜찮은 곳 없을까요?? 숙박말고 당일치기로 놀러갈 수 있는 글램핑장이요!! 가까우면 좋겠지만 경기도 안이면 괜찮을 것 같아요 추천 부탁드려요~
우리나라에 quokka가 몇 마리가 있나요?,우리나라에 쿼카 몇 마리가 있나요? ​ ​ ​ ​ 우리나라 동물원에 쿼카가 몇 마리가 있습니까? 알려주세요. ​
브라질너트완태란,브라질너트완태란
여수 바라보다 펜션,여수 바라보다 펜션 청소년 합숙 되나요? 동성끼리
일본 dms night24 나 bakky 자료들 어디가서 다운 받을 수 있을까요?,dms night24 나 bakky 자료들 어디가서 다운 받을 수 있을까요?
터키 카파도키아 기후 특징좀 알려 주세요!!,터키 카파도키아 기후 특징이 있나요? 있으면 알려주세요!!ㅠㅠ 급해요!!!!!!!!!!!!
장삼이라고하던데,장삼이라고 받았는데 정확한이름이 궁금합니다 그리고 효능이 어떤지 금액도 궁금합니다
서해에 굴업도같은 섬,안녕하세요. 굴업도 좋아하는데 가려는날 배가 매진이네요 ㅠ_ㅠ 혹시 서해에 굴업도 처럼 예쁜 섬 아시는 곳 있으면 추천 부탁드려요. 서해로 부탁드립니다~ 거리상..
메이투 인데요 이상태면 로그인 안된,메이투 인데요 이상태면 로그인/회원가입 안된 상태 맞나요? ㅠ 실수로 로그인 버튼 눌러서..엑스 버튼인가 그거 눌렀는데 혹시나 해서요
베트남 어 좀 적어 주세요.,베트남 어 좀 적어 주시고 한글 발음도 부탁드려요. 아래처럼 . . Xin chào. (씬 짜오) 1. 오늘 첫 근무 입니다. 2. 이거 (과자 ) 간식으로 나눠 드세요. 3. 잘 부 탁드려요.
지리산반매야영장,지리산반매야영장
요번에 스위스유학에 관심이 있는데요,요번에 스위스유학에 관심이 있는데요 검색해보니 호텔유학 밖에 없어서 저는 수학과를 가고 싶거든요 대학은 스위스 취리히연방공과대학에 가고 싶은데 정보가 없으니 ... 입학조건같은건 어떻게 되는지 알고 싶습니다 그리고 유학원도 알려주시면 감사하겠습니다 .
알리 예상 배송 시간 7/30일 오늘날짠데,오늘 도착할까요?ㅠㅠ 다른거 주문했을땐 빨리왔었는데 유독 이거만 늦는것같네요ㅠㅠ
식사전 아메리카노 좋은점?,식사에 아메리카노 먹으면 좋나요?? 점심 식사전 한잔 (저녁 운동)전 한잔 이렇게 하루에 카누 아메리카노 두잔을 마시거든요. 운동하기전에 아메리카노를 마시면 신진대사 활발 등 효과 있다는데요. 식사전에 아메리카노 마시면 좋은점이 있나요?? 식사 후에 아메리카노를 마셔야 하나요?? 식사전 식사후 언제 아메리카노를 마실까요?? 출처 : https://kin.naver.com/qna/detail.nhn?d1id=8&amp;dirId=8020306&amp;docId=192759640&amp;qb=7JWE66mU66as7Lm064W4&amp;enc=utf8&amp;section=kin&amp;rank=23&amp;search_sort=0&a...
의대를 꿈꾸는 중1,안녕하세요 저는 일반외과 의사가 되고싶은 중1입니다. 지금부터 계획을 짜서 준비하고 싶은데 아직 미숙해서 알고싶은 것이 많습니다. 1)의학용어를 외우려고 책을 한 권 사고 싶은데 어떤 책이 좋을까요? 2)만약 자식을 낳고 휴식기간을 가지면 다시 복귀 할 수 있나요? 아무래도 일반외과이다 보니 손놀림이 예전같지 않을 수 있을 것 같아서요... 3)현실의 병원은 분위기가 어떤가요? 의학 드라마를 많이 봤는데 실제랑은 어떤 차이가 있는지 궁금합니다.
8월 7일 안면도 조개잡이 궁금한게 있어요!!,8월7일날 안면도 펜션잡아서 조개잡아보려 하는데요 처음이라 아무것도 모르는데 맛조개를 잡고싶어요. 그외 다른 맛있는 조개들도 가능하구요 ㅎㅎ 어디서 몇시쯤에 잡아야하는지 전혀 모르는데 해루질이나 조개잡이 고수님들 답변 부탁드립니다!!!
므어  르이 느억(베트남 수중 인형극),이번 수행 과제인데 므어 르이 느억에 관한 설명좀요ㅠㅠ선생님이 급하게 내신거라 오늘 저녁 5시 30분까지요ㅠㅠ전 5학년입니다
포토카드 프리뷰 사이즈,포토카드를 만들었는데 프리뷰 사이즈 좀 알려주세여
녹야님이 누구신가요,어디선가 얼핏 들어봤는데 혹시 여기 계시나용 계신다면 한 번 보고 싶어용 그리고 간단하게 Q&amp;A도 준비했어용 1. 성함이 어떻게 되시죠 2. 좋아하시는 음식은? 3. 연세는? 4. 닉네임은 어째서 녹야이신지? 5. 부인/남편이 있으신가용 6. 본업은 무엇인가용 7. 네이버 지식in 경력은? 8. 네이버에게 하고 싶은 말씀이 있으시다면? 감사합니당
앙헬레스 에있는 떡집,앙헬레스 에있는 떡집
[In Transit]Dispatch PreAlert to South Korea  2020-07-20 10:57:52,[In Transit]Dispatch PreAlert to South Korea 2020-07-20 10:57:52
달러구매 어떤거 사야하나요?,보통 미국달러 구매하면 어떤걸로 구매하시나요? 저는 투자증권에서 구매해서 모을건데 여기에서 고르는게 맞나 궁금합니다! 아래 화면은 크레온이에요.
호주 키라해변,한 때 호주의 키라해변에서 유람선 선착장 개발에 대해서 논란이 있었는데 현재 키라해변에 유람선 선착장이 들어왔나요? 내공 100겁니다 부탁드려요ㅠㅠㅠㅠ
봉숭아학당찰영지한옥팬션,봉숭아학당찰영지한옥팬션
꽃이름 알고싶어요,몇년만에 꽃을 피웠는데 이꽃 이름이 뭔가요?
포항오도리해수욕장 평상대여되나요,포항오도리해수욕장 평상대여되나요? 작년에는 평상있었던것 같은데 요즘은 안보이는것 같아서요.코로나때문에 아예 안하는건지..
강원도양양 수영장스파,안녕하세요.저는올해12살여자입니다 다다음주에강원도양양 여행을 가기로했어요 제가 뭐라도해야할것같아서 글을씀니다 히드독으로 관광지.카페.음식점은 대충계획짜놓았구요.근데!!↑위에있는히드독에서스파수영장을찾는데 펜션을잡아서 이용을해도되는지.안잡아서해도되는지 가안나와있어요..조금짜증이나네요..제발빨리써주세요 급해요계획없이 여행을하면부모님이의견충돌을많이해서 이번만큼은 기분좋은여행 이되고싶은마음입니다 1수영장 스파정보알려주세요 2팬션을잡아야되는지 안해도되는지 정확하게⭐ 3강아지동반이여야하...
뉴질랜드 중학교 기숙사좀 알려주세요!!!,뉴질랜드 유학 가려고 하는데 뉴질랜드 좋은 학교 좋은 기숙사좀 알려주세요!!! 4인 1방2인 1방 아니고 1인 1방 하는게 좋다고 해서 1인 1방 하는 기숙사 알려주세요~
현실적인 이익 추구,안녕하세요 제가 이번에 다른 인물의 가치와 저의 삶을 비교해 글을 쓰는 과제를 받았습니다. 그래서 제가 왕가리 마타이와 관련된 케냐 지도자들과 제 삶을 비교하려 합니다. 케냐 지도자들이 추구하는 가치는 현실적인 이익입니다. 근데 제 삶 중에 제가 현실적인 이익을 추구하는 일을 찾지 못해서 지식인에 물어봅니다. 중학생들에게 현실적인 이익을 추구하는 일은 무엇이 있을까요? 진짜 급합니다 내공 70걸게요 빨리 알려주세용..
전천당 카드  번호,제발 전천당 고양이 카드 가나오면 제발 번호좀 알려주세요
언 연 in English,Please explain the following k expression in American English. 언어의 연금술사 Also explain how to use it in writing. 미국 거주 시민분들만 answer 바랍니다 Thank you.
8월 춘천 2박 3일 여행,8월달에 지인 한명이랑 저랑 2명이서 춘천에 2박 3일로 여행을 갈려고 합니다. 출발지는 대구입니다. 이동수단은 대구에서는 기차로 타고갈예정이고요 춘천에 도착해서는 시내버스 및 택시로 이동해야 할 듯합니다. 여행 코스 추천해주시면 감사드리겠고요 첫째날 둘째날 마지막날까지 코스 짜주시면 감사드리겠습니다. 아 그리고 제일 중요한 펜션 가격싸고 좋은 데 있으면 추천해주세요!!!
폐목재 처리를 하고싶은데요,현장 폐목재 (나무파레트) 60개정도 상태 깨끗한편입니다 해남 근처 수거해주시는분 있을까요 직접 가져다 드릴수도 있습니다
가평 이시스리조트,가평 이시스리조트펜션 전화번호좀알수있을까요?기기 구워먹는데가 있나요?개인인가요?
김해 워터파크,오늘 김해워터파크 파도풀 몇시까지 운영하나요? 슬라이드는 다 운영하는 거죠? 최대한빨리요!!
사천진항이나 강릉항 오전에 배들어오는시간,이번 주말에 강문해변쪽으로 바람쐬러가는길에 새벽에 출발해서 7시쯤 경포대쪽에 도착할듯한데요.. 항구로 바로 들려서 횟감을 구입하고싶은데.. 구입가능여부와.. 몇시쯤 맞춰서 갈면되는지 알고싶습니다.
